SID,SVOLT,SOV,TORN,SORN,TSN,TEMP,CURRENT
531,55.0,7.0,4,13,3-12-4521,36.937,-1.314163e-05
531,55.0,7.0,4,14,3-12-4521,36.875,-1.356821e-05
531,55.0,7.0,4,15,3-12-4521,36.937,-1.340245e-05
531,55.0,7.0,4,16,3-12-4521,36.937,-8.114892e-06
531,55.0,7.0,5,1,3-12-4522,37.0,-8.667259e-06
531,55.0,7.0,5,2,3-12-4522,37.062,-1.159627e-05
531,55.0,7.0,5,3,3-12-4522,37.0,-1.218297e-05
531,55.0,7.0,5,4,3-12-4522,37.062,-1.386926e-05
531,55.0,7.0,5,5,3-12-4522,37.0,-8.812328e-06
531,55.0,7.0,5,6,3-12-4522,37.062,-1.174745e-05
531,55.0,7.0,5,7,3-12-4522,37.062,-1.120287e-05
531,55.0,7.0,5,8,3-12-4522,37.062,-1.279991e-05
531,55.0,7.0,5,9,3-12-4522,37.062,-8.308208e-06
531,55.0,7.0,5,10,3-12-4522,37.0,-1.123195e-05
531,55.0,7.0,5,11,3-12-4522,37.062,-1.216862e-05
531,55.0,7.0,5,12,3-12-4522,37.062,-1.273993e-05
531,55.0,7.0,5,13,3-12-4522,37.062,-8.521068e-06
531,55.0,7.0,5,14,3-12-4522,37.062,-1.115922e-05
531,55.0,7.0,5,15,3-12-4522,37.062,-1.106762e-05
531,55.0,7.0,5,16,3-12-4522,37.062,-1.211574e-05
531,55.0,7.0,6,1,3-12-4524,38.437,-1.337291e-05
531,55.0,7.0,6,2,3-12-4524,38.437,-1.549831e-05
531,55.0,7.0,6,3,3-12-4524,38.437,-1.598156e-05
531,55.0,7.0,6,4,3-12-4524,38.437,-1.407466e-05
531,55.0,7.0,6,5,3-12-4524,38.437,-1.605233e-05
531,55.0,7.0,6,6,3-12-4524,38.5,-1.5394e-05
531,55.0,7.0,6,7,3-12-4524,38.5,-1.430759e-05
531,55.0,7.0,6,8,3-12-4524,38.5,-1.503718e-05
531,55.0,7.0,6,9,3-12-4524,38.437,-1.646022e-05
531,55.0,7.0,6,10,3-12-4524,38.5,-1.402543e-05
531,55.0,7.0,6,11,3-12-4524,38.437,-1.619197e-05
531,55.0,7.0,6,12,3-12-4524,38.5,-1.473138e-05
531,55.0,7.0,6,13,3-12-4524,38.5,-1.71222e-05
531,55.0,7.0,6,14,3-12-4524,38.5,-1.395499e-05
531,55.0,7.0,6,15,3-12-4524,38.5,-1.651851e-05
531,55.0,7.0,6,16,3-12-4524,38.562,-1.500658e-05
531,55.0,7.0,7,1,3-12-4525,38.625,-1.139685e-05
531,55.0,7.0,7,2,3-12-4525,38.625,-1.055662e-05
531,55.0,7.0,7,3,3-12-4525,38.625,-1.183601e-05
531,55.0,7.0,7,4,3-12-4525,38.625,-1.368508e-05
531,55.0,7.0,7,5,3-12-4525,38.625,-1.179466e-05
531,55.0,7.0,7,6,3-12-4525,38.625,-1.00945e-05
531,55.0,7.0,7,7,3-12-4525,38.687,-1.261664e-05
531,55.0,7.0,7,8,3-12-4525,38.687,-1.582082e-05
531,55.0,7.0,7,9,3-12-4525,38.687,-1.157468e-05
531,55.0,7.0,7,10,3-12-4525,38.687,-1.071426e-05
531,55.0,7.0,7,11,3-12-4525,38.687,-1.12127e-05
531,55.0,7.0,7,12,3-12-4525,38.687,-1.280932e-05
531,55.0,7.0,7,13,3-12-4525,38.687,-1.291242e-05
531,55.0,7.0,7,14,3-12-4525,38.687,-1.137028e-05
531,55.0,7.0,7,15,3-12-4525,38.687,-1.080992e-05
531,55.0,7.0,7,16,3-12-4525,38.687,-1.205905e-05
531,55.0,7.0,8,1,3-12-4527,37.562,-9.008611e-06
531,55.0,7.0,8,2,3-12-4527,37.562,-9.433432e-06
531,55.0,7.0,8,3,3-12-4527,37.562,-9.423768e-06
531,55.0,7.0,8,4,3-12-4527,37.562,-1.181686e-05
531,55.0,7.0,8,5,3-12-4527,37.562,-9.609439e-06
531,55.0,7.0,8,6,3-12-4527,37.562,-9.579238e-06
531,55.0,7.0,8,7,3-12-4527,37.625,-9.398302e-06
531,55.0,7.0,8,8,3-12-4527,37.625,-1.093903e-05
531,55.0,7.0,8,9,3-12-4527,37.625,-9.411669e-06
531,55.0,7.0,8,10,3-12-4527,37.625,-9.784761e-06
531,55.0,7.0,8,11,3-12-4527,37.625,-9.409957e-06
531,55.0,7.0,8,12,3-12-4527,37.625,-9.503397e-06
531,55.0,7.0,8,13,3-12-4527,37.625,-9.296658e-06
531,55.0,7.0,8,14,3-12-4527,37.625,-9.615511e-06
531,55.0,7.0,8,15,3-12-4527,37.625,-9.175029e-06
531,55.0,7.0,8,16,3-12-4527,37.625,-9.942129e-06
531,55.0,7.0,9,1,3-12-4528,36.812,-1.129176e-05
531,55.0,7.0,9,2,3-12-4528,36.812,-1.246981e-05
531,55.0,7.0,9,3,3-12-4528,36.812,-1.342359e-05
531,55.0,7.0,9,4,3-12-4528,36.812,-8.019359e-06
531,55.0,7.0,9,5,3-12-4528,36.812,-1.092416e-05
531,55.0,7.0,9,6,3-12-4528,36.875,-1.294596e-05
531,55.0,7.0,9,7,3-12-4528,36.812,-1.319792e-05
531,55.0,7.0,9,8,3-12-4528,36.875,-7.733876e-06
531,55.0,7.0,9,9,3-12-4528,36.875,-1.043864e-05
531,55.0,7.0,9,10,3-12-4528,36.812,-1.08262e-05
531,55.0,7.0,9,11,3-12-4528,36.812,-1.334366e-05
531,55.0,7.0,9,12,3-12-4528,36.875,-7.934619e-06
531,55.0,7.0,9,13,3-12-4528,36.875,-1.155648e-05
531,55.0,7.0,9,14,3-12-4528,36.875,-1.111987e-05
531,55.0,7.0,9,15,3-12-4528,36.875,-1.293579e-05
531,55.0,7.0,9,16,3-12-4528,36.875,-7.833823e-06
531,55.0,7.0,10,1,3-12-4529,38.625,-1.211995e-05
531,55.0,7.0,10,2,3-12-4529,38.625,-1.59277e-05
531,55.0,7.0,10,3,3-12-4529,38.562,-1.673935e-05
531,55.0,7.0,10,4,3-12-4529,38.625,-1.059245e-05
